id,season,lg,team,abbreviation,playoffs,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss
40,2023,NBA,Houston Rockets,HOU,FALSE,82,19755,40.9,89.4,0.457,10.5,32.1,0.327,30.3,57.3,0.53,19.2,25.5,0.754,13.5,33.1,46.6,22.5,7.4,4.6,16.3,20.6,111.4
41,2023,NBA,Indiana Pacers,IND,FALSE,82,19755,41.4,88.3,0.469,13.4,36.4,0.367,28,51.8,0.54,18.4,23.4,0.79,10,30.9,40.9,26.6,7.6,5.7,14.7,20.9,114.6
42,2023,NBA,Los Angeles Clippers,LAC,FALSE,82,19830,41.6,87.2,0.477,12.9,33.8,0.381,28.8,53.4,0.539,18.9,24.2,0.781,9.9,33.9,43.8,24.2,7.2,4.5,14.4,19.7,115
43,2023,NBA,Los Angeles Lakers,LAL,FALSE,82,19880,41.9,87,0.482,10.5,30.5,0.346,31.4,56.5,0.555,20.2,26,0.775,9.7,34.9,44.7,24.7,6.3,4.5,13.8,17.5,114.5
44,2023,NBA,Memphis Grizzlies,MEM,FALSE,82,19780,43,90.6,0.475,11.8,33.7,0.351,31.2,56.9,0.548,17.2,23.5,0.733,11.9,34,45.9,25.6,8.2,5.7,13.4,19.7,115.1
45,2023,NBA,Miami Heat,MIA,FALSE,82,19805,40.5,88,0.46,12.3,35.9,0.344,28.1,52.1,0.54,19.7,23.7,0.831,10,31.9,41.9,24.6,8.2,3.1,13.9,19.1,113
46,2023,NBA,Milwaukee Bucks,MIL,FALSE,82,19830,42.2,89.2,0.473,14.7,39.8,0.368,27.5,49.4,0.557,16.4,22.1,0.743,11,37,48,25.5,6.3,4.9,14.4,17.8,115.4
47,2023,NBA,Minnesota Timberwolves,MIN,FALSE,82,19830,42.1,85.9,0.49,11.9,32.7,0.365,30.2,53.1,0.568,17.6,23.3,0.755,9,32.2,41.1,25.7,7.9,5.3,15.1,21.2,113.7
48,2023,NBA,New Orleans Pelicans,NOP,FALSE,82,19855,42.1,87.6,0.48,11,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.2,43.7,25.9,8.3,4.1,14.6,20.5,114.4
49,2023,NBA,New York Knicks,NYK,FALSE,82,19955,42.6,90.7,0.47,12.8,36.3,0.354,29.8,54.5,0.547,19.7,25.8,0.761,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,117.8
50,2023,NBA,Oklahoma City Thunder,OKC,FALSE,82,19855,42.3,90.8,0.465,11.9,33.5,0.356,30.4,57.3,0.53,18.8,23.3,0.809,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,115.2
51,2023,NBA,Orlando Magic,ORL,FALSE,82,19780,40.6,86.4,0.47,10.8,31.2,0.346,29.8,55.3,0.539,19.6,25,0.784,10.2,33.1,43.3,23.3,7.4,4.7,15.1,20.2,111.6
52,2023,NBA,Philadelphia 76ers,PHI,FALSE,82,19880,41.7,85.6,0.487,12.9,33.3,0.387,28.8,52.3,0.551,21.4,25.6,0.835,8.9,32.9,41.8,25.7,7.9,4.8,14,20.9,117.7
53,2023,NBA,Phoenix Suns,PHO,FALSE,82,19780,42.7,91.3,0.467,12.4,33,0.374,30.3,58.2,0.52,17.4,22,0.793,12,32.8,44.8,27.6,7.2,5.3,13.7,21.5,115.1
54,2023,NBA,Portland Trail Blazers,POR,FALSE,82,19730,40.9,86.4,0.474,13,35.7,0.365,27.9,50.7,0.55,19.9,24.9,0.796,9.6,31.5,41,24.5,6.8,4.6,14.6,20.3,114.8
55,2023,NBA,Sacramento Kings,SAC,FALSE,82,19830,43.1,87.3,0.494,13.6,36.9,0.369,29.5,50.3,0.586,19.6,24.8,0.79,9.4,32.6,42,27,6.9,3.3,13.3,19.5,119.4
56,2023,NBA,San Antonio Spurs,SAS,FALSE,82,19855,42,90.3,0.465,10.8,31.4,0.345,31.2,58.9,0.529,15.4,20.7,0.743,11.5,31.1,42.6,26.5,6.8,3.8,14.9,19.4,110.2
57,2023,NBA,Toronto Raptors,TOR,FALSE,82,19805,42.9,93.5,0.459,11,32.8,0.335,31.9,60.7,0.525,18.8,24,0.784,13,31,44,24.5,9.6,5.3,11.9,20.5,115.5
58,2023,NBA,Utah Jazz,UTA,FALSE,82,19805,42,88.8,0.473,13.2,37.4,0.353,28.8,51.4,0.56,18.5,23.6,0.786,11.7,33.7,45.4,25.7,6,5.2,15.2,20.2,115.8
59,2023,NBA,Washington Wizards,WAS,FALSE,82,19755,42.6,87.9,0.485,11.4,32.1,0.356,31.2,55.8,0.559,17.8,22.7,0.785,9.5,34.6,44.1,25.7,6.9,5.2,14.3,19,114.4
60,2022,NBA,Atlanta Hawks,ATL,TRUE,82,19705,42.4,90.3,0.47,13.2,35.2,0.374,29.2,55.1,0.531,18.5,22.8,0.812,10.3,34.7,45,25.2,7.3,4.3,12.1,19.1,116.5
61,2022,NBA,Boston Celtics,BOS,TRUE,82,19905,41.7,89.5,0.466,13.5,38,0.356,28.2,51.5,0.547,17.4,21.4,0.816,10.8,36.4,47.2,25.4,7.4,6,14,19,114.4
